Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino
Austria,AUT,2021-01-08,31348,0,0,0,0,0,0,0
Austria,AUT,2021-01-15,116460,91,0,0,0,0,0,0
Austria,AUT,2021-01-22,213896,318,0,0,0,0,0,0
Austria,AUT,2021-01-29,258824,4284,0,0,0,0,0,0
Austria,AUT,2021-02-05,354902,5987,0,0,0,0,0,0
Austria,AUT,2021-02-12,456800,10082,10777,0,0,0,0,0
Austria,AUT,2021-02-19,522722,14221,43552,0,0,0,0,0
Austria,AUT,2021-02-26,584073,22648,101335,0,0,0,0,0
Austria,AUT,2021-03-05,688794,31985,156295,3,0,0,0,0
Austria,AUT,2021-03-12,851980,47369,235121,3,0,0,0,0
Austria,AUT,2021-03-19,984937,79167,308473,26,0,0,0,0
Austria,AUT,2021-03-26,1131982,104591,383919,44,0,0,0,0
Austria,AUT,2021-04-02,1280640,141030,422511,73,0,0,0,0
Austria,AUT,2021-04-09,1502960,180653,512900,133,0,0,0,0
Austria,AUT,2021-04-16,1737864,223280,608889,147,0,0,0,0
Austria,AUT,2021-04-23,2002502,260702,657863,156,0,0,0,0
Austria,AUT,2021-04-30,2276985,299784,700314,434,0,0,0,0
Austria,AUT,2021-05-07,2608787,349240,763315,6565,0,0,0,0
Austria,AUT,2021-05-14,2909555,399364,827568,13614,0,0,0,0
Austria,AUT,2021-05-21,3289082,467515,905201,25915,0,0,0,0
Austria,AUT,2021-05-28,3626227,521261,987775,38162,0,0,0,0
Austria,AUT,2021-06-04,4053626,576874,1056050,58708,0,0,0,0
Austria,AUT,2021-06-11,4494297,640090,1150979,80494,0,0,0,0
Austria,AUT,2021-06-18,4951608,689978,1202635,95539,0,0,0,0
Austria,AUT,2021-06-25,5399175,745877,1275887,104180,0,0,0,0
Austria,AUT,2021-07-02,5792989,806128,1382808,129711,0,0,0,0
Austria,AUT,2021-07-09,6124914,856865,1446925,153948,0,0,0,0
Austria,AUT,2021-07-16,6401469,901810,1495195,173328,0,0,0,0
Austria,AUT,2021-07-23,6653602,948420,1521992,189945,0,0,0,0
Austria,AUT,2021-07-30,6866582,967398,1546669,202046,0,0,0,0
Austria,AUT,2021-08-06,7045654,985261,1560860,217265,0,0,0,0
Austria,AUT,2021-08-13,7171731,994813,1566084,227600,0,0,0,0
Austria,AUT,2021-08-20,7266142,1008779,1568664,241028,0,0,0,0
Austria,AUT,2021-08-27,7325734,1012557,1570363,254752,0,0,0,0
Austria,AUT,2021-09-03,7378450,1017525,1572151,267664,0,0,0,0
Austria,AUT,2021-09-10,7434831,1020670,1573155,281599,0,0,0,0
Austria,AUT,2021-09-17,7506721,1025248,1573976,292935,0,0,0,0
Austria,AUT,2021-09-24,7581632,1029439,1574988,306645,0,0,0,0
Austria,AUT,2021-10-01,7664473,1034029,1575601,314142,0,0,0,0
Austria,AUT,2021-10-08,7777597,1039638,1575900,318283,0,0,0,0
Austria,AUT,2021-10-15,7886281,1046425,1576167,321045,0,0,0,0
Austria,AUT,2021-10-22,8014235,1054721,1576339,324382,0,0,0,0
Austria,AUT,2021-10-29,8131857,1061373,1576511,329735,0,0,0,0
Austria,AUT,2021-11-05,8353295,1075093,1576699,334450,0,0,0,0
Austria,AUT,2021-11-12,8780783,1103991,1577090,338844,0,0,0,0
Austria,AUT,2021-11-19,9382413,1147632,1577333,341563,0,0,0,0
Austria,AUT,2021-11-26,10045128,1215198,1577583,343173,0,0,0,0
Austria,AUT,2021-12-03,10582727,1281269,1577770,344217,0,0,0,0
Belgium,BEL,2021-01-08,28165,0,0,0,0,0,0,0
Belgium,BEL,2021-01-15,127229,48,0,0,0,0,0,0
Belgium,BEL,2021-01-22,245258,4534,0,0,0,0,0,0
Belgium,BEL,2021-01-29,335313,6248,0,0,0,0,0,0
Belgium,BEL,2021-02-05,464723,16064,0,0,0,0,0,0
Belgium,BEL,2021-02-12,600595,25703,392,0,0,0,0,0
Belgium,BEL,2021-02-19,701513,30533,10924,0,0,0,0,0
Belgium,BEL,2021-02-26,790506,33043,45603,0,0,0,0,0
Belgium,BEL,2021-03-05,879987,51963,110524,0,0,0,0,0
Belgium,BEL,2021-03-12,976800,67967,191919,0,0,0,0,0
Belgium,BEL,2021-03-19,1087575,90519,351824,0,0,0,0,0
Belgium,BEL,2021-03-26,1284713,100928,462790,0,0,0,0,0
Belgium,BEL,2021-04-02,1543947,128855,522966,0,0,0,0,0
Belgium,BEL,2021-04-09,1862694,176215,602822,0,0,0,0,0
Belgium,BEL,2021-04-16,2140621,210973,783771,0,0,0,0,0
Belgium,BEL,2021-04-23,2458338,262494,840880,0,0,0,0,0
Belgium,BEL,2021-04-30,2814797,289665,906535,3097,0,0,0,0
Belgium,BEL,2021-05-07,3367588,347666,1009567,24168,0,0,0,0
Belgium,BEL,2021-05-14,3819844,402327,1102792,30013,0,0,0,0
Belgium,BEL,2021-05-21,4189584,504345,1369914,50731,0,0,0,0
Belgium,BEL,2021-05-28,4632257,578781,1470078,74649,0,0,0,0
Belgium,BEL,2021-06-04,5331795,655154,1573682,98553,0,0,0,0
Belgium,BEL,2021-06-11,6086061,741553,1761226,144957,0,0,0,0
Belgium,BEL,2021-06-18,6800051,847923,1896384,214443,0,0,0,0
Belgium,BEL,2021-06-25,7460949,960640,1965828,245498,0,0,0,0
Belgium,BEL,2021-07-02,7931055,1044275,2065946,269093,0,0,0,0
Belgium,BEL,2021-07-09,8465994,1105981,2293270,284269,0,0,0,0
Belgium,BEL,2021-07-16,8974633,1160789,2447907,302518,0,0,0,0
Belgium,BEL,2021-07-23,9527517,1214427,2554315,313262,0,0,0,0
Belgium,BEL,2021-07-30,10037537,1245480,2645883,322635,0,0,0,0
Belgium,BEL,2021-08-06,10396498,1269066,2706584,331954,0,0,0,0
Belgium,BEL,2021-08-13,10548222,1286484,2819748,339338,0,0,0,0
Belgium,BEL,2021-08-20,10647839,1297971,2829399,345504,0,0,0,0
Belgium,BEL,2021-08-27,10720031,1305776,2832985,351274,0,0,0,0
Belgium,BEL,2021-09-03,10773417,1315038,2835478,357245,0,0,0,0
Belgium,BEL,2021-09-10,10815315,1321566,2836513,362170,0,0,0,0
Belgium,BEL,2021-09-17,10866978,1328001,2837438,368765,0,0,0,0
Belgium,BEL,2021-09-24,10964965,1332300,2838038,375638,0,0,0,0
Belgium,BEL,2021-10-01,11095951,1338664,2838389,380687,0,0,0,0
Belgium,BEL,2021-10-08,11261542,1341274,2838524,384671,0,0,0,0
Belgium,BEL,2021-10-15,11431897,1344882,2838662,388682,0,0,0,0
Belgium,BEL,2021-10-22,11561868,1349211,2838745,392415,0,0,0,0
Belgium,BEL,2021-10-29,11704900,1353523,2838784,396746,0,0,0,0
Belgium,BEL,2021-11-05,11812198,1360629,2838812,400921,0,0,0,0
Belgium,BEL,2021-11-12,11943058,1371055,2838835,404508,0,0,0,0
Belgium,BEL,2021-11-19,12218634,1396002,2838856,406710,0,0,0,0
Belgium,BEL,2021-11-26,12606520,1483898,2838871,408266,0,0,0,0
Belgium,BEL,2021-12-03,12790886,1534219,2838876,408445,0,0,0,0
Bulgaria,BGR,2021-01-01,0,0,0,0,0,0,0,0
Bulgaria,BGR,2021-01-08,13473,0,0,0,0,0,0,0
Bulgaria,BGR,2021-01-15,17962,491,0,0,0,0,0,0
Bulgaria,BGR,2021-01-22,25300,843,0,0,0,0,0,0
Bulgaria,BGR,2021-01-29,40072,1053,0,0,0,0,0,0
Bulgaria,BGR,2021-02-05,54821,2207,10,0,0,0,0,0
Bulgaria,BGR,2021-02-12,70020,3333,2035,0,0,0,0,0
Bulgaria,BGR,2021-02-19,83960,6446,28947,0,0,0,0,0
Bulgaria,BGR,2021-02-26,104340,10475,97630,0,0,0,0,0
Bulgaria,BGR,2021-03-05,129880,14820,143932,0,0,0,0,0
Bulgaria,BGR,2021-03-12,147683,16988,174209,0,0,0,0,0
Bulgaria,BGR,2021-03-19,168956,20921,179029,0,0,0,0,0
Bulgaria,BGR,2021-03-26,195704,34004,206835,0,0,0,0,0
Bulgaria,BGR,2021-04-02,228583,44809,230180,0,0,0,0,0
Bulgaria,BGR,2021-04-09,275118,59160,238387,0,0,0,0,0
Bulgaria,BGR,2021-04-16,322422,74318,241707,0,0,0,0,0
Bulgaria,BGR,2021-04-23,382650,93241,247383,0,0,0,0,0
Bulgaria,BGR,2021-04-30,452036,108865,263756,0,0,0,0,0
Bulgaria,BGR,2021-05-07,514960,122688,300451,0,0,0,0,0
Bulgaria,BGR,2021-05-14,606439,145571,364379,398,0,0,0,0
Bulgaria,BGR,2021-05-21,690983,165767,401422,2629,0,0,0,0
Bulgaria,BGR,2021-05-28,754371,181502,411232,6276,0,0,0,0
Bulgaria,BGR,2021-06-04,827459,190457,435357,11142,0,0,0,0
Bulgaria,BGR,2021-06-11,898271,202784,457900,17987,0,0,0,0
Bulgaria,BGR,2021-06-18,949706,216421,467870,25928,0,0,0,0
Bulgaria,BGR,2021-06-25,997114,225728,470990,33099,0,0,0,0
Bulgaria,BGR,2021-07-02,1042927,234047,472860,39994,0,0,0,0
Bulgaria,BGR,2021-07-09,1086383,241862,474021,48424,0,0,0,0
Bulgaria,BGR,2021-07-16,1127926,247955,474812,58430,0,0,0,0
Bulgaria,BGR,2021-07-23,1167720,252761,475720,68108,0,0,0,0
Bulgaria,BGR,2021-07-30,1212406,258066,476371,78440,0,0,0,0
Bulgaria,BGR,2021-08-06,1256750,263844,476700,89960,0,0,0,0
Bulgaria,BGR,2021-08-13,1298259,269269,477025,102550,0,0,0,0
Bulgaria,BGR,2021-08-20,1341032,274596,477363,116845,0,0,0,0
